"";"pred";"obs"
"1";0,779836893081665;0,636081913064276
"2";0,408597409725189;0,44103117100548
"3";0,433398336172104;0,468041368901572
"4";0,313067555427551;0,246392798380213
"5";0,188010543584824;0,168042606009872
"6";0,217936217784882;0,238351594426415
"7";0,280165731906891;0,376701539375095
"8";0,364387691020966;0,455051731745436
"9";0,479261249303818;0,657937493041266
"10";0,442405700683594;0,385773666912714
"11";0,439110815525055;0,451752776277211
"12";0,616052210330963;0,492783534913258
"13";0,385679841041565;0,389278807097703
"14";0,684240937232971;0,558350274844228
"15";0,60870760679245;0,432989967051682
"16";0,254307508468628;0,282475123813922
"17";0,0719773769378662;0,111547993616521
"18";0,610070705413818;0,730514513342213
"19";0,40700551867485;0,314846124345879
"20";0,458070039749146;0,468041368901572
"21";0,301795721054077;0,287629741733024
"22";0,52234560251236;0,605360390266432
"23";0,568126201629639;0,566185294081262
"24";0,715260863304138;0,789895711770261
"25";0,617473423480988;0,53608232543371
"26";0,482608914375305;0,434639444785795
"27";0,444677770137787;0,360619131467499
"28";0,177610293030739;0,124537630772657
"29";0,352843314409256;0,317114156230284
"30";0,432843089103699;0,741442303330708
"31";0,692119479179382;0,760617481989765
"32";0,351903945207596;0,262887575721337
"33";0,657553970813751;0,743710335215113
"34";0,346056520938873;0,284743155698327
"35";0,495957642793655;0,566185294081262
"36";0,934758961200714;0,992575288349326
"37";0,869047522544861;0,787627679885856
"38";0,567273318767548;0,528659675630204
"39";0,409315258264542;0,372990214473342
"40";0,724538207054138;0,862472732071208
"41";0,497264623641968;0,552577102774834
"42";0,336019575595856;0,370103628438646
"43";0,747725605964661;0,678349780000907
"44";0,229586347937584;0,314433754912351
"45";0,993486225605011;1
"46";0,650079488754272;0,616081995538163
"47";0,265770941972733;0,26000098968664
"48";0,406462013721466;0,431134304600806
"49";0,248299837112427;0,18268172090012
"50";0,324368387460709;0,337114073756397
"51";0,916097283363342;1
"52";0,202968403697014;0,178351841848075
"53";0,841473460197449;0,731339252209269
