"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
1.0,0.175345377258,0.274509803922,0.147884539344,0.198944754811,0.0283640236554,0.0774543660582,0.0685300892401,0.107011929848
0.98406374502,0.197662061637,0.352941176471,0.201608013708,0.294847920546,0.0315591804703,0.0759743463246,0.0910401235845,0.134228312461
0.975099601594,0.122210414453,0.313725490196,0.0189271121655,0.0268466790813,0.00924913814849,0.0190758098997,0.0793782154729,0.145774656599
0.974103585657,0.116896918172,0.254901960784,0.0395149597997,0.0521415270019,0.0143501779758,0.0370004933399,0.185638818775,0.120413936437
0.974103585657,0.109458023379,0.372549019608,0.0382759984183,0.050434512725,0.017405196334,0.0429205722743,0.0982814030151,0.104125343813
0.973107569721,0.115834218916,0.549019607843,0.036509819428,0.0364680322781,0.0187224978279,0.0391382996218,0.196128329264,0.121651044738
0.973107569721,0.113708820404,0.470588235294,0.0765783577171,0.105369335816,0.051514896718,0.103930274626,0.150128963738,0.138970560946
0.972111553785,0.243358129649,0.78431372549,0.0213523131673,0.0259155803849,0.0104263011856,0.0258181220194,0.0833367815616,0.0690739419631
0.972111553785,0.113708820404,0.647058823529,0.12618953473,0.182184978274,0.0877547016452,0.173491202105,0.115743231128,0.0894862289228
0.971115537849,0.243358129649,0.882352941176,0.0394095162778,0.0477963997517,0.0219737100255,0.0444005920079,0.11661218466,0.0682492030961
0.971115537849,0.11477151966,0.294117647059,0.0985633320153,0.124146492862,0.0681353176939,0.135339582306,0.15032896098,0.147424134333
0.971115537849,0.112646121148,0.392156862745,0.0523527085805,0.0747982619491,0.0330446481123,0.0716987337609,0.0775920332133,0.0969088787263
0.970119521912,0.244420828905,0.921568627451,0.0339791749044,0.038330229671,0.0161719779142,0.0345337937839,0.114288078785,0.0692801266799
0.970119521912,0.243358129649,0.588235294118,0.0652695400026,0.0718497827436,0.0376411894952,0.0786054925177,0.187038799465,0.114228394934
0.96812749004,0.0233793836344,0.274509803922,0.0381178331356,0.058504034761,0.0265141960257,0.0491695444828,0.0247306933697,0.0618574768764
0.966135458167,0.249734325186,0.313725490196,0.067325688678,0.0909373060211,0.0280837467418,0.0657786548265,0.0827023075544,0.111547993617
0.966135458167,0.112646121148,0.529411764706,0.0441808356399,0.0498137802607,0.0185823593711,0.0419338924519,0.170025241031,0.164743650542
0.966135458167,0.0265674814028,0.392156862745,0.00110715697904,0.00496585971446,0.0017096891729,0.00427561256372,0.0246341429773,0.0206205335236
